台灣,#genre#
星衛娛樂臺,tvbus://3pd5D5NyAFqfqVYq2HXhDxH76BsxxKpoxwNqwr2oWStzUNcoW7
星衛HD電影臺,tvbus://34guiPCGPcVJyd7Hk4MohvAABtn9ZoQm3wJqDh4gPa65mV44Se
Star_Movies_HD,tvbus://4Ai97nbkyoP9UGswVqdmhkY5VuUhA6f2x9efVHzaCyo1CsivNQ
Fox家庭電影臺,tvbus://4tTnfWE32fHsTgzRSnBko3g57PhYgoJ6iooBoKWwR5ArdiNfYR
FX,p8p://0198.02686.cc:16871/5d1a69a50009208511bda3ff8356848f.ts
FOX_SPORTS_3,tvbus://3h9WDkiGgWhPQECA8QZyqRT2xUtGv6uHd2LRav4Ss18NFcw7QD
緯來精采臺,tvbus://4Kz3anJYc5QAu3T34Ay3joFKkZ1PnaKAnVpErybbH7tBtMXGfR
國家地理高畫質野生頻道,tvbus://36Fg7bSpGV24d6cDRfvu8fybf8SVFZCSya3ikQ8SnCvc2qxpBK
國家地理高畫質悠人頻道,tvbus://4akBFefbKyf45ELCVGn61ycqZw8Q9noYBGQqsQNCCuw1gaiJVu
Golf_Channel_(博斯高球),tvbus://45C3vexNFYjxcsScs96xxkBUhPFs7R7uhuxSMwByfimXcBHwkf
Golf_Plus_(博斯高球二臺),tvbus://4XFVnGyp5PSGYrUXKAQZs2tGad8TmTwJKRxnxuttGpk6AijB6R
靖天日本,tvbus://4PsWJJSuBYw2wCcJCCiYroB5c3UQNVUtkL58DS4UtxV2H5aL6b
博斯網球,p8p://0198.02686.cc:16871/5d4c07370004e10e9fd599bbf1aae42b.ts
博斯無限,p8p://0198.02686.cc:16871/5d4c081b000532c99fd9146f1abdcff3.ts
歷史頻道,tvbus://3ex1JT4fCtWQJjvcnVV92Bhcf6CsTmkJEAcd2gZmRB8MGg9iaK
華藝綜合,tvbus://3kAYoypFJJ9BSzSrCkPp4NGVsxpZHAHdKH4Y8VP5zhMaEV5aq4
華藝影劇,tvbus://41S7x6cJ4C73CTCZTrvbD6MH7NTewtWMeVVwJpNbwUunHyKUA4
天映頻道,tvbus://4WHQf76S15vRHHESSF71mw9YbgeRMVe3iea5oMMGYNFpUZYJqZ
FOX_Action_Movies_Backup,tvbus://4YxSKpFMwaAnwHBC65kfkW8UjSuWUjEos6sGGHE9ChkvXPQB4t
FOX_Action_Movies,tvbus://4eYSf8ZYynmTYdeuWaaiiFVnhTZ298GhndW1xbug67fMgdZsm4
Star_Chinese_Movies_HD,tvbus://3aGDGNBPr82h9z4X3De4PK94XnMV6JcqA4tim4mx6DWjCfeJni
National_Geographic_Channel_HD,tvbus://4553LgCaGyX2HskeQxjoymjVsEU9Csq5yjhv6HN4USPTN1rBLo
National_Geographic_Wild_HD,tvbus://3JBCjzipMVkfe6hqvKd2yNjnJVAXGsm1f7UeRvZAfHu2VfdzLX
K_plus,tvbus://4hWgyYAHu3b2jNC2aQVLZ15GSK9r2oM3ahgARuMU3iMw9Gs16V
HBO Hits HD,tvbus://3Gck3ZQTy6pt7JqTiRK9rhq9jTCZa6dFRHY8Y377MbHSCSyXmu
HBO Family HD,tvbus://3oBzPJbzTnk2D2aZs1owFBtbBrnoZDJnhhPeuZ3iPUbrTb4srA
HBO Signature HD,tvbus://3h9EU9GVmXwMsdYrB5MbHmSSyS7TGHhbriFPpe1VrTsx7AiKqH
Cinemax HD,tvbus://35ukuw2JYFS9ZPfVJP5xS5uSA3zPRNqTAR9khEtDfZ6Jh72c4Q
TLC HD,tvbus://42jhzcHofzj7vAhuHHRoTH7gb4XHGQHWe7tuPH9zdp7YXxsZZv
大陸/China,genre
CCTV1,tvbus://3sE7V4EfT4ABijrGMpfjy9JFa1cAbCrMaQtGfLRmpvJNrgbkrZ
CCTV2,tvbus://3asn7Up7Zn4SaZnSgn22Nm6wF9whAQLoDR3GwfJ4YK7i26YKc8
CCTV3,tvbus://3jaRBsZVr66mGM5L3pbWVkuTHdmbGeETR25dTJEcZeTACh7UMs
CCTV4,p8p://0198.02686.cc:16871/5d1a699c0003f57011bd7f840080582d.ts
CCTV5,p8p://0198.02686.cc:16871/5d1a699e00076fa011bd88384bd1ad68.ts
CCTV5+,p8p://0198.02686.cc:16871/5d1a699d000b786b11bd85591a37419d.ts
CCTV6,tvbus://3CoPxRmmTMCs1MjizH59JSPAaCBUDyhKLNZruwkhcWJi4Pbe1W
CCTV7,tvbus://3P7rrSz8eX8pvpbPwRL3tPMDQpMpK1tt9SHy7suoDjk57nnd4G
CCTV8,tvbus://3bvffG3qZCPYyMUsjxEhMdZV9syFE12r9SE7zKANdeGJPYACis
CCTV9,p8p://0198.02686.cc:16871/5d1a69a10005e2bf11bd938ba0a96775.ts
CCTV10,p8p://0198.02686.cc:16871/5d1a69950001d55b11bd63a1a7412eff.ts
CCTV11,p8p://0198.02686.cc:16871/5d1a6995000d2d4411bd6688405637b9.ts
CCTV12,p8p://0198.02686.cc:16871/5d1a69960008e5c611bd69582e7284c5.ts
CCTV13,tvbus://3aAJxxFyc2nwMQAMj7hnBXR5S2xV8nZgVYr2H6KgctUTbb1TrT
CCTV14,p8p://0198.02686.cc:16871/5d1a699800010bf711bd6f251fac0a34.ts
CCTV15,p8p://0198.02686.cc:16871/5d1a6998000c859211bd7215e54eb404.ts
廣東體育,p8p://0198.02686.cc:16871/5d1a69bc000974fd11bdfdedd4967d61.ts
湖南衛視,tvbus://3LmU5CQo9Asnsj46bq44CDxMYswdYGrwyezhu2ss7YVJ82CLK6
江蘇衛視,p8p://0198.02686.cc:16871/5d1a69c6000506b711be23da7205472e.ts
浙江衛視,p8p://0198.02686.cc:16871/5d1a69c8000771a811be2c4919c0f84c.ts
江西衛視,p8p://0198.02686.cc:16871/5d1a69c7000118dd11be26c131299bb6.ts
貴州衛視,p8p://0198.02686.cc:16871/5d1a69d10003317b11be4e5a63ff746d.ts
安徽衛視,tvbus://42nZfrc5jnY6tMAnwPyTvZmPEHaEQ9KR4qXQkAroZkP88DMMBM
吉林衛視,tvbus://4YVkJDCVNj2sUvDw3ujtpHtuVSLZttw24zyB3Kr3YHxYVDthdN
河南衛視,tvbus://3Xm7vsMbacsZGZa9cZETPKoVJ7Q62M1XYgPNHmMXabTaj3Lj1Z
遼寧衛視,p8p://0198.02686.cc:16871/5d1a69d1000e847711be51408076990f.ts
四川衛視,p8p://0198.02686.cc:16871/5d1a69b400098f3411bddeb3ff50162b.ts
深圳衛視,p8p://0198.02686.cc:16871/5d1a69c9000ec48911be3211b872a891.ts
南方衛視,p8p://0198.02686.cc:16871/5d1a69b30003ab5511bdd949a4730deb.ts
黑龍江衛視,p8p://0198.02686.cc:16871/5d1a69d7000b9c9a11be67f2d66140d2.ts
天津衛視,p8p://0198.02686.cc:16871/5d1a69b8000eeead11bdefb3d7551e89.ts
北京衛視,p8p://0198.02686.cc:16871/5d1a69b1000c1e9311bdd3a31a688a40.ts
重慶衛視,p8p://0198.02686.cc:16871/5d1a69d300069bdb11be570acce403b8.ts
深圳體育,tvbus://43y8XXc21Mhm3yjZohexBhHDVFS5Dmajx9USwZeqXa7mjP8mwj
山東衛視,tvbus://4kUwAhg1mKKtvLAm832ZRpoEokwP9g9ad7amssbtdPfsxcCeAH
東方衛視,p8p://0198.02686.cc:16871/5dbc317c000014e4d3429bae6350e7df.ts
五星體育,tvbus://3CHZBnTGEpZG7cg1XAB3kcxc91vXdgpgyTzWWrBv1KSwzzdR57
珠江,p8p://0198.02686.cc:16871/5d1a69cc0002c11611be3ab59efd0c09.ts
廣東公共,tvbus://3pFfsrdDDCGqvkt4trPQ9YSDm7rTyhxz19UqjzBb9gjtjRET6q
廣東衛視,p8p://0198.02686.cc:16871/5d1a69be0001729e11be03b099071e29.ts
東南衛視,p8p://elive.wuyelive.com:16868/58c8e914000c497301277d4f212472c4.ts
CHC家庭影院,tvbus://4DhHcFhaMMQY6x3Xxu79GBEUSzFHN5CYRL7oNBijfLiasXqMop
都市頻道,tvbus://4Sckyqi5Y22navQj9PzmPKGhyiVfT8VAtAbX3Gkb4ytbhuESb2
CHC動作電影,tvbus://3YyQthnHA5QrbEqDgnrP3CWosSwBw2s9fjazLmbCpJ7ve8crUR
